300	8.44
600	16.72
900	25.18
1200	34.05
1500	42.7
1800	51.43
2100	59.28
2400	68.0
2700	76.85
3000	85.98
3300	94.21
3600	102.88
3900	110.92
4200	118.84
4500	126.89
4800	134.8
5100	142.72
5400	150.32
5700	157.95
6000	165.04
6300	172.46
6600	178.91
6900	186.02
7200	193.19
7500	200.59
7800	208.37
8100	216.63
8400	223.82
8700	230.74
9000	237.54
9300	244.08
9600	251.43
9900	258.19
10200	264.29
10500	270.74
10800	278.19
11100	284.94
11400	291.3
11700	297.09
12000	303.15
12300	309.09
12600	315.33
12900	320.95
13200	326.84
13500	331.87
13800	336.63
14100	341.32
14400	346.41
14700	351.53
15000	355.63
15300	359.72
15600	364.46
15900	368.21
16200	373.32
16500	377.02
16800	379.65
17100	382.11
17400	385.06
17700	388.41
18000	391.68
18300	393.95
18600	396.47
18900	399.36
19200	401.81
19500	404.06
19800	406.31
20100	408.0
20400	409.75
20700	411.83
21000	414.0
21300	415.95
21600	418.0
21900	420.11
22200	421.55
22500	422.79
22800	424.06
23100	425.43
23400	426.35
23700	427.87
24000	429.34
24300	430.2
24600	430.85
24900	432.05
25200	433.13
25500	434.01
25800	435.38
26100	436.46
26400	437.2
26700	437.71
27000	438.5
27300	439.08
27600	439.86
27900	440.74
28200	441.62
28500	442.32
28800	443.04
29100	443.64
29400	444.48
29700	445.04
30000	445.35
30300	445.88
30600	446.53
30900	447.08
31200	447.16
31500	447.7
31800	448.2
32100	448.56
32400	448.91
32700	449.3
33000	449.45
33300	449.85
33600	450.32
33900	450.86
34200	451.1
34500	451.47
34800	451.75
35100	452.24
35400	452.67
35700	452.91
36000	453.14
36300	453.51
36600	453.73
36900	454.13
37200	454.45
37500	454.83
37800	455.21
38100	455.75
38400	456.12
38700	456.56
39000	456.98
39300	457.42
39600	457.85
39900	457.99
40200	458.45
40500	459.55
40800	460.03
41100	460.24
41400	460.75
41700	460.91
42000	461.36
42300	461.72
42600	462.37
42900	462.72
43200	462.89
43500	463.25
43800	463.61
44100	464.06
44400	464.42
44700	464.78
45000	464.89
45300	465.31
45600	465.89
45900	466.03
46200	466.07
46500	466.23
46800	466.5
47100	466.55
47400	466.71
47700	467.09
48000	467.72
48300	467.89
48600	467.95
48900	468.16
49200	468.29
49500	468.41
49800	468.56
50100	468.95
50400	469.1
50700	469.31
51000	469.64
51300	469.99
51600	470.3
51900	470.66
52200	470.9
52500	471.06
52800	471.59
53100	471.96
53400	472.07
53700	472.26
54000	472.71
54300	472.85
54600	473.13
54900	473.57
55200	473.82
55500	473.91
55800	474.33
56100	474.51
56400	474.78
56700	475.15
57000	475.35
57300	475.7
57600	475.94
57900	476.11
58200	476.36
58500	476.58
58800	476.76
59100	476.83
59400	476.96
59700	477.2
60000	477.33
