10	0.14
20	0.67
30	1.0
40	1.19
50	1.44
60	1.78
70	1.85
80	1.92
90	2.11
100	2.46
110	2.91
120	3.11
130	3.55
140	3.93
150	4.26
160	4.63
170	4.85
180	5.18
190	5.42
200	5.83
210	6.07
220	6.46
230	6.74
240	6.79
250	7.26
260	7.52
270	7.83
280	8.15
290	8.63
300	8.86
310	9.05
320	9.29
330	9.53
340	9.95
350	10.16
360	10.23
370	10.65
380	11.02
390	11.11
400	11.43
410	11.4
420	11.68
430	11.95
440	12.12
450	12.42
460	12.52
470	12.82
480	13.13
490	13.41
500	13.83
510	14.25
520	14.64
530	14.95
540	15.38
550	15.58
560	15.7
570	16.03
580	16.48
590	16.88
600	17.19
610	17.56
620	17.94
630	18.3
640	18.45
650	18.88
660	18.92
670	19.26
680	19.48
690	19.57
700	20.11
710	20.48
720	20.7
730	21.21
740	21.66
750	22.0
760	22.48
770	22.86
780	23.01
790	23.4
800	23.42
810	23.8
820	24.08
830	24.39
840	24.52
850	24.81
860	25.03
870	25.38
880	25.52
890	25.77
900	25.98
910	26.39
920	26.45
930	26.7
940	26.85
950	27.21
960	27.48
970	27.74
980	28.01
990	28.14
1000	28.48
1010	28.83
1020	29.22
1030	29.33
1040	29.38
1050	29.67
1060	29.94
1070	30.23
1080	30.66
1090	31.0
1100	31.21
1110	31.37
1120	31.61
1130	32.02
1140	32.42
1150	32.69
1160	32.85
1170	33.09
1180	33.72
1190	33.98
1200	34.37
1210	34.52
1220	34.76
1230	34.99
1240	35.46
1250	35.66
1260	35.9
1270	36.12
1280	36.63
1290	36.89
1300	37.16
1310	37.42
1320	37.69
1330	37.92
1340	38.26
1350	38.73
1360	39.11
1370	39.35
1380	39.66
1390	40.1
1400	40.27
1410	40.55
1420	40.84
1430	41.04
1440	41.63
1450	41.81
1460	41.84
1470	42.1
1480	42.44
1490	42.48
1500	42.76
1510	43.04
1520	43.41
1530	43.73
1540	44.14
1550	44.56
1560	44.73
1570	45.05
1580	45.24
1590	45.39
1600	45.43
1610	45.44
1620	45.71
1630	45.84
1640	46.05
1650	46.4
1660	46.76
1670	46.86
1680	47.03
1690	47.6
1700	47.84
1710	48.27
1720	48.55
1730	48.92
1740	49.36
1750	49.42
1760	49.67
1770	50.19
1780	50.54
1790	50.81
1800	51.07
1810	51.31
1820	51.67
1830	52.03
1840	52.23
1850	52.38
1860	52.81
1870	53.0
1880	53.27
1890	53.42
1900	53.63
1910	54.1
1920	54.46
1930	54.73
1940	55.23
1950	55.46
1960	55.91
1970	56.13
1980	56.39
1990	56.57
2000	57.15
2010	57.42
2020	57.85
2030	58.09
2040	58.31
2050	58.38
2060	58.73
2070	59.04
2080	59.18
2090	59.49
2100	59.52
2110	59.82
2120	59.89
2130	60.27
2140	60.61
2150	61.02
2160	61.35
2170	61.63
2180	61.97
2190	62.17
2200	62.48
2210	62.57
2220	62.89
2230	63.22
2240	63.76
2250	64.16
2260	64.17
2270	64.45
2280	64.83
2290	65.11
2300	65.34
2310	65.56
2320	66.12
2330	66.35
2340	66.78
2350	67.2
2360	67.55
2370	67.89
2380	68.23
2390	68.65
2400	68.94
2410	69.48
2420	69.95
2430	70.18
2440	70.31
2450	70.65
2460	70.76
2470	70.98
2480	71.29
2490	71.56
2500	71.65
2510	71.83
2520	71.98
2530	72.23
2540	72.43
2550	72.75
2560	73.04
2570	73.32
2580	73.61
2590	73.84
2600	74.02
2610	74.35
2620	74.68
2630	75.08
2640	75.1
2650	75.34
2660	75.69
2670	76.11
2680	76.31
2690	76.7
2700	76.76
2710	77.21
2720	77.65
2730	77.73
2740	78.24
2750	78.47
2760	78.81
2770	79.21
2780	79.6
2790	80.03
2800	80.58
2810	80.81
2820	81.29
2830	81.71
2840	82.0
2850	82.27
2860	82.57
2870	82.65
2880	82.94
2890	83.12
2900	83.28
2910	83.57
2920	83.99
2930	84.21
2940	84.34
2950	84.55
2960	84.82
2970	85.05
2980	85.25
2990	85.48
3000	85.79
3010	85.97
3020	86.38
3030	86.75
3040	86.78
3050	86.86
3060	87.06
3070	87.34
3080	87.53
3090	87.94
3100	88.04
3110	88.2
3120	88.39
3130	88.72
3140	88.91
3150	89.01
3160	89.17
3170	89.46
3180	89.82
3190	90.13
3200	90.46
3210	90.75
3220	91.22
3230	91.87
3240	92.18
3250	92.48
3260	92.7
3270	92.93
3280	93.23
3290	93.33
3300	93.53
3310	93.79
3320	94.2
3330	94.5
3340	94.87
3350	95.15
3360	95.33
3370	95.71
3380	95.81
3390	96.15
3400	96.57
3410	96.84
3420	97.28
3430	97.46
3440	97.88
3450	98.1
3460	98.53
3470	98.61
3480	98.95
3490	99.04
3500	99.25
3510	99.75
3520	100.12
3530	100.38
3540	100.72
3550	101.02
3560	101.16
3570	101.43
3580	101.69
3590	102.07
3600	102.35
3610	102.64
3620	102.94
3630	103.22
3640	103.62
3650	103.97
3660	104.43
3670	104.46
3680	104.6
3690	104.72
3700	105.07
3710	105.35
3720	105.71
3730	105.9
3740	106.06
3750	106.65
3760	106.73
3770	106.69
3780	106.9
3790	107.42
3800	107.63
3810	107.86
3820	108.05
3830	108.24
3840	108.61
3850	109.1
3860	109.36
3870	109.61
3880	109.9
3890	110.23
3900	110.47
3910	110.86
3920	111.11
3930	111.36
3940	111.83
3950	112.3
3960	112.53
3970	112.75
3980	112.87
3990	113.16
4000	113.55
4010	113.76
4020	114.07
4030	114.36
4040	114.64
4050	114.94
4060	115.22
4070	115.46
4080	115.74
4090	115.93
4100	116.07
4110	116.24
4120	116.37
4130	116.53
4140	116.7
